,time,ID,Sec,X,Y,Contact_count,Vertex,Speed,Sit,exit,STUCK,Chair,group,groupedP,totalP,Contact_sec,Contact_IDs,Contact_Pop
1012,119,5,106,27.541373156448834,5.535183653066104,0,"[27.541373156448834, 5.535183653066104]",0.8863752481006303,0,,,[],0.0,0.0,9.0,0.0,[],0
1013,119,6,103,28.9864368535561,27.535079158862782,0,"[28.9864368535561, 27.535079158862782]",0.90317080199887,0,,,[],1.0,2.0,9.0,0.0,[],0
1014,119,7,100,23.11233966189961,18.43995533758981,0,"[23.11233966189961, 18.43995533758981]",1.2145644296275726,0,,,[],0.0,0.0,9.0,0.0,[],0
1015,119,8,97,8.547682723249892,13.960936628407763,0,"[8.547682723249892, 13.960936628407763]",1.4860417086337878,0,,,[],0.0,0.0,9.0,0.0,[],0
1016,119,9,94,17.325588661958275,2.9204266984954153,0,"[17.325588661958275, 2.9204266984954153]",1.1205369127367382,0,,,[],1.0,2.0,9.0,0.0,[],0
1017,120,0,120,0.4616203401964203,0.7916984269743244,0,"[0.4616203401964203, 0.7916984269743244]",0.8954973826869429,0,,,[],1.0,2.0,9.0,0.0,[],0
1018,120,1,119,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,9.0,0.0,[],0
1020,120,4,110,23.151124137742308,0.09747106705526254,0,"[23.151124137742308, 0.09747106705526254]",0.8222941230979979,0,,,[],1.0,2.0,9.0,0.0,[],0
1021,120,5,107,27.541373156448834,5.535183653066104,0,"[27.541373156448834, 5.535183653066104]",0.8863752481006303,0,,,[],0.0,0.0,9.0,0.0,[],0
1022,120,6,104,28.9864368535561,27.535079158862782,0,"[28.9864368535561, 27.535079158862782]",0.90317080199887,0,,,[],1.0,2.0,9.0,0.0,[],0
1023,120,7,101,23.11233966189961,18.43995533758981,0,"[23.11233966189961, 18.43995533758981]",1.2145644296275726,0,,,[],0.0,0.0,9.0,0.0,[],0
1024,120,8,98,8.547682723249892,13.960936628407763,0,"[8.547682723249892, 13.960936628407763]",1.4860417086337878,0,,,[],0.0,0.0,9.0,0.0,[],0
1025,120,9,95,17.325588661958275,2.9204266984954153,0,"[17.325588661958275, 2.9204266984954153]",1.1205369127367382,0,,,[],1.0,2.0,9.0,0.0,[],0
1026,121,0,121,0.4616203401964203,0.7916984269743244,0,"[0.4616203401964203, 0.7916984269743244]",0.8954973826869429,0,,,[],1.0,2.0,9.0,0.0,[],0
1027,121,1,120,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,9.0,0.0,[],0
1029,121,4,111,23.151124137742308,0.09747106705526254,0,"[23.151124137742308, 0.09747106705526254]",0.8222941230979979,0,,,[],1.0,2.0,9.0,0.0,[],0
1030,121,5,108,27.541373156448834,5.535183653066104,0,"[27.541373156448834, 5.535183653066104]",0.8863752481006303,0,,,[],0.0,0.0,9.0,0.0,[],0
1031,121,6,105,28.9864368535561,27.535079158862782,0,"[28.9864368535561, 27.535079158862782]",0.90317080199887,0,,,[],1.0,2.0,9.0,0.0,[],0
